CONTINUOUS,CATEGORICAL
110,101
111,101
112,101
113,101
114,101
115,101
116,101
117,101
118,101
119,101
120,102
121,102
122,102
123,102
124,102
125,102
126,102
127,102
128,102
129,102
130,103
131,103
132,103
133,103
134,103
135,103
136,103
137,103
138,103
139,103
140,104
141,104
142,104
143,104
144,104
145,104
146,104
147,104
148,104
149,104
150,105
151,105
152,105
153,105
154,105
155,105
156,105
157,105
158,105
159,105
160,106
161,106
162,106
163,106
164,106
165,106
166,106
167,106
168,106
169,106
170,107
171,107
172,107
173,107
174,107
175,107
176,107
177,107
178,107
179,107
180,108
181,108
182,108
183,108
184,108
185,108
186,108
187,108
188,108
189,108
190,109
191,109
192,109
193,109
194,109
195,109
196,109
197,109
198,109
199,109
210,111
211,111
212,111
213,111
214,111
215,111
216,111
217,111
218,111
219,111
220,112
221,112
222,112
223,112
224,112
225,112
226,112
227,112
228,112
229,112
230,113
231,113
232,113
233,113
234,113
235,113
236,113
237,113
238,113
239,113
240,114
241,114
242,114
243,114
244,114
245,114
246,114
247,114
248,114
249,114
250,115
251,115
252,115
253,115
254,115
255,115
256,115
257,115
258,115
259,115
260,116
261,116
262,116
263,116
264,116
265,116
266,116
267,116
268,116
269,116
270,117
271,117
272,117
273,117
274,117
275,117
276,117
277,117
278,117
279,117
280,118
281,118
282,118
283,118
284,118
285,118
286,118
287,118
288,118
289,118
290,119
291,119
292,119
293,119
294,119
295,119
296,119
297,119
298,119
299,119
310,121
311,121
312,121
313,121
314,121
315,121
316,121
317,121
318,121
319,121
320,122
321,122
322,122
323,122
324,122
325,122
326,122
327,122
328,122
329,122
330,123
331,123
332,123
333,123
334,123
335,123
336,123
337,123
338,123
339,123
340,124
341,124
342,124
343,124
344,124
345,124
346,124
347,124
348,124
349,124
350,125
351,125
352,125
353,125
354,125
355,125
356,125
357,125
358,125
359,125
360,126
361,126
362,126
363,126
364,126
365,126
366,126
367,126
368,126
369,126
370,127
371,127
372,127
373,127
374,127
375,127
376,127
377,127
378,127
379,127
380,128
381,128
382,128
383,128
384,128
385,128
386,128
387,128
388,128
389,128
390,129
391,129
392,129
393,129
394,129
395,129
396,129
397,129
398,129
399,129
-9999,255
